type,name,value,max_hp,armor,weight
Armor (Feet),Dragon Skin Boots,180,1000,5,3.6
Armor (Gauntlet),Iron Plate Bracers,70,425,3,2.4
Armor (Helm),Impervious Iron Skullcap,100,425,3,1.8
Armor (Gauntlet),Tempered Steel Plate Bracers,140,650,4,2.8
Armor (Shield),Dwarven Steel Tower Shield,600,800,6,22.5
Armor (Feet),Spun Adamantium Boots,3740,1300,7,5.7
Armor (Helm),Dragon Skin Skullcap,1500,1000,7,1.8
Armor (Legs),Dwarven Steel Studded Leather,1000,800,6,12.0
Armor (Feet),Mighty Tempered Steel Plate Boots,4760,650,5,14.0
Armor (Feet),Reptile Hide Boots,1760,600,6,4.8
Armor (Feet),Tungsten Plate Boots,2040,1000,6,16.0
Armor (Helm),Tempered Steel Full Helm,340,650,4,4.2
Armor (Torso),Emerald-encrusted Bronze Chain Armor,360,350,3,14.3
Armor (Torso),Emerald-encrusted Leather Armor,660,300,4,4.8
Armor (Legs),Immune Steel Studded Leather,480,500,4,10.4
Armor (Shield),Immune Iron Large Shield,240,425,3,14.4
Armor (Gauntlet),Fire Resistant Iron Chain Gauntlets,120,425,2,2.4
Armor (Feet),Steel Scale Boots,525,500,4,10.4
Armor (Torso),Steel Plate Armor,1650,500,7,28.6
Armor (Gauntlet),Mighty Dwarven Steel Scale Gauntlets,2100,800,5,3.8
Armor (Cloak),Emerald-encrusted Boiled Leather Heavy Cloak,240,400,4,3.9
Armor (Cloak),Immune Boiled Leather Heavy Cloak,240,400,4,3.9
Armor (Torso),Iron Studded Vest,160,425,2,4.8
Armor (Legs),Dwarven Steel Brigadine Leggings,1000,800,6,27.0
Armor (Torso),Tempered Steel Chain Armor,480,650,4,18.2
Armor (Feet),Iron Chain Boots,130,425,2,7.2
Armor (Shield),Tempered Steel Tower Shield,480,650,5,21.0
Armor (Feet),Dwarven Steel Scale Boots,875,800,5,12.0
Armor (Shield),Finely made Bronze Small Shield,22,489,2,7.7
Armor (Legs),Leather Leggings,36,300,2,6.0
Armor (Belt),Hide Belt,20,250,2,2.0
Armor (Feet),Flimsy Hide Boots,24,150,2,2.0
Armor (Feet),Finely made Hide Boots,24,349,2,2.0
Armor (Legs),Finely made Hide Leggings,24,349,2,5.0
Armor (Feet),Hide Sandals,10,250,2,1.0
Armor (Torso),Finely made Copper Chain Jerkin,50,419,1,9.0
Armor (Torso),Dwarven Steel Studded Vest,400,800,4,6.0
Armor (Helm),Tempered Steel Chain Coif,100,650,3,2.8
Armor (Helm),Bronze Half-helm,27,350,2,1.7
Armor (Helm),Tempered Steel Lord's Helm of Health,2160,650,5,5.6
Armor (Cloak),Dwarven Steel Military Cloak of Focus,3000,800,5,12.0
Armor (Legs),Iron Brigadine Leggings,400,425,4,21.6
Armor (Feet),Iron Plate Boots,680,425,4,12.0
